88
519 90
740 180
789 120
823 120
867 120
1177 30
1202 120
1291 30
1309 120
1363 120
1367 120
1388 120
1749 180
1765 120
1907 90
2105 120
2813 90
3030 30
3108 120
3189 90
3461 90
3572 120
3720 180
3772 180
3798 120
3849 30
3880 30
3881 30
4044 30
4049 120
4062 30
4144 30
4170 30
4190 120
4269 120
4272 180
4492 30
4551 30
4614 30
4765 30
4824 180
4826 90
4987 180
5074 120
5192 30
5217 120
5446 30
5637 90
5784 30
5785 180
5994 180
6036 120
6058 30
6068 30
6166 30
6470 30
6606 180
6985 120
7147 120
7304 30
7518 30
7969 180
7998 180
8036 30
8086 30
8220 30
8304 30
8471 30
8504 30
8799 120
8863 180
9146 30
9281 120
9297 90
9356 30
9417 180
9501 30
9508 120
9754 120
9804 180
9811 30
9825 120
9838 120
10036 180
10041 120
10150 120
10311 30
10680 120
